"","xmin","xmax","variable","value"
"1",2.67737734303541,3.27235008593217,"Cardamom",0
"2",3.27235008593217,3.86732282882893,"Cardamom",0
"3",3.86732282882893,4.46229557172569,"Cardamom",0
"4",4.46229557172569,5.05726831462245,"Cardamom",0
"5",5.05726831462245,5.65224105751921,"Cardamom",45
"6",5.65224105751921,6.24721380041597,"Cardamom",118
"7",6.24721380041597,6.84218654331273,"Cardamom",149
"8",6.84218654331273,7.43715928620949,"Cardamom",195
"9",7.43715928620949,8.03213202910624,"Cardamom",148
"10",8.03213202910624,8.627104772003,"Cardamom",174
"11",8.627104772003,9.22207751489976,"Cardamom",209
"12",9.22207751489976,9.81705025779652,"Cardamom",275
"13",9.81705025779652,10.4120230006933,"Cardamom",391
"14",10.4120230006933,11.00699574359,"Cardamom",384
"15",11.00699574359,11.6019684864868,"Cardamom",423
"16",11.6019684864868,12.1969412293836,"Cardamom",495
"17",12.1969412293836,12.7919139722803,"Cardamom",588
"18",12.7919139722803,13.3868867151771,"Cardamom",647
"19",13.3868867151771,13.9818594580738,"Cardamom",578
"20",13.9818594580738,14.5768322009706,"Cardamom",526
"21",14.5768322009706,15.1718049438674,"Cardamom",515
"22",15.1718049438674,15.7667776867641,"Cardamom",563
"23",15.7667776867641,16.3617504296609,"Cardamom",621
"24",16.3617504296609,16.9567231725576,"Cardamom",587
"25",16.9567231725576,17.5516959154544,"Cardamom",605
"26",17.5516959154544,18.1466686583511,"Cardamom",615
"27",18.1466686583511,18.7416414012479,"Cardamom",653
"28",18.7416414012479,19.3366141441447,"Cardamom",628
"29",19.3366141441447,19.9315868870414,"Cardamom",453
"30",19.9315868870414,20.5265596299382,"Cardamom",348
"31",20.5265596299382,21.1215323728349,"Cardamom",282
"32",21.1215323728349,21.7165051157317,"Cardamom",175
"33",21.7165051157317,22.3114778586285,"Cardamom",152
"34",22.3114778586285,22.9064506015252,"Cardamom",109
"35",22.9064506015252,23.501423344422,"Cardamom",89
"36",23.501423344422,24.0963960873187,"Cardamom",73
"37",24.0963960873187,24.6913688302155,"Cardamom",60
"38",24.6913688302155,25.2863415731122,"Cardamom",49
"39",25.2863415731122,25.881314316009,"Cardamom",30
"40",25.881314316009,26.4762870589058,"Cardamom",30
"41",26.4762870589058,27.0712598018025,"Cardamom",19
"42",27.0712598018025,27.6662325446993,"Cardamom",15
"43",27.6662325446993,28.261205287596,"Cardamom",6
"44",28.261205287596,28.8561780304928,"Cardamom",5
"45",28.8561780304928,29.4511507733896,"Cardamom",5
"46",29.4511507733896,30.0461235162863,"Cardamom",3
"47",30.0461235162863,30.6410962591831,"Cardamom",1
"48",30.6410962591831,31.2360690020798,"Cardamom",0
"49",31.2360690020798,31.8310417449766,"Cardamom",0
"50",31.8310417449766,32.4260144878734,"Cardamom",2
"51",32.4260144878734,33.0209872307701,"Cardamom",1
"52",33.0209872307701,33.6159599736669,"Cardamom",0
"53",33.6159599736669,34.2109327165636,"Cardamom",0
"54",34.2109327165636,34.8059054594604,"Cardamom",0
"55",34.8059054594604,35.4008782023572,"Cardamom",0
"56",35.4008782023572,35.9958509452539,"Cardamom",0
"57",35.9958509452539,36.5908236881507,"Cardamom",0
"58",36.5908236881507,37.1857964310474,"Cardamom",0
"59",37.1857964310474,37.7807691739442,"Cardamom",0
"60",37.7807691739442,38.3757419168409,"Cardamom",0
"61",38.3757419168409,38.9707146597377,"Cardamom",0
"62",38.9707146597377,39.5656874026345,"Cardamom",0
"63",39.5656874026345,40.1606601455312,"Cardamom",0
"64",40.1606601455312,40.755632888428,"Cardamom",0
"65",40.755632888428,41.3506056313247,"Cardamom",0
"66",41.3506056313247,41.9455783742215,"Cardamom",0
"67",41.9455783742215,42.5405511171183,"Cardamom",0
"68",42.5405511171183,43.135523860015,"Cardamom",0
